Tradition,tradition_name,not_coastal,ethos_bellicose,ethos_bureaucratic,ethos_courtly,ethos_communal,ethos_egalitarian,ethos_spiritual,ethos_stoic,heritage1,heritage2,heritage3,heritage4,heritage5,plains,jungle,farmlands,forest,hills,mountains,steppe,taiga,desert,heritage_kdccchbhff_seed
Adaptive Skirmishers,tradition_adaptive_skirmishing,1,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Battlefield Looters,tradition_battlefield_looters,1,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Forest Fighters,tradition_forest_fighters,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0.75,0,0,0,0,0.75,0,0.1
Formation Fighting Experts,tradition_formation_fighting,1,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Frugal Armorsmiths,tradition_frugal_armorsmiths,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Highland Warriors,tradition_highland_warriors,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.75,0,0,0,0,0.1
Hit-and-Run Tacticians,tradition_hit_and_run,1,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Horse Breeders,tradition_horse_breeder,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Jungle Warriors,tradition_jungle_warriors,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0.75,0,0,0,0,0,0,0,0.1
Mountaineers,tradition_mountaineers,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.75,0,0,0,0.1
Only the Strong,tradition_only_the_strong,1,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Quarrelsome,tradition_quarrelsome,1,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
